1678945311.90692,Node Id:69
1678945311.90782,Smoke Flag:0
1678945311.90982,Temperature[C]:27
1678945311.91182,Humidity[%]:38
1678945311.91277,Air Quality[AQI]:67
1678945311.91479,Node Id:70
1678945311.91675,Smoke Flag:1
1678945311.91872,Temperature[C]:32
1678945311.92082,Humidity[%]:45
1678945311.9217,Air Quality[AQI]:72
1678945311.9237,Node Id:69
1678945311.9258,Smoke Flag:0
1678945311.92678,Temperature[C]:25
1678945311.92878,Humidity[%]:32
1678945311.93076,Air Quality[AQI]:59
1678945311.9317,Node Id:69
1678945311.93277,Smoke Flag:0
1678945325.90601,Temperature[C]:27
1678945325.90787,Humidity[%]:38
1678945325.90981,Air Quality[AQI]:67
1678945325.91182,Node Id:70
1678945325.9128,Smoke Flag:0
1678945325.91482,Temperature[C]:27
1678945325.91683,Humidity[%]:38
1678945325.918,Air Quality[AQI]:67
